data,localita,tmedia,tmin,tmax
2021-01-01,Palermo,11.6,8.5,14.9
2021-01-02,Palermo,11.4,8.4,15.4
2021-01-03,Palermo,10.8,8.6,14.5
2021-01-04,Palermo,10.1,7.7,13.0
2021-01-05,Palermo,11.0,7.8,14.3
2021-01-06,Palermo,14.1,11.4,16.2
2021-01-07,Palermo,16.2,12.4,19.0
2021-01-08,Palermo,16.1,14.0,19.1
2021-01-09,Palermo,19.1,13.3,24.1
2021-01-10,Palermo,18.0,14.4,21.5
2021-01-11,Palermo,12.3,9.7,14.8
2021-01-12,Palermo,9.7,8.6,10.9
2021-01-13,Palermo,12.3,10.5,13.7
2021-01-14,Palermo,13.7,11.1,15.8
2021-01-15,Palermo,13.3,11.5,15.3
2021-01-16,Palermo,10.3,9.1,11.8
2021-01-17,Palermo,11.2,8.4,13.7
2021-01-18,Palermo,9.8,7.9,11.2
2021-01-19,Palermo,9.8,6.3,12.9
2021-01-20,Palermo,12.9,9.3,15.6
2021-01-21,Palermo,15.6,13.4,18.0
2021-01-22,Palermo,15.1,12.0,18.4
2021-01-23,Palermo,14.6,13.1,16.5
2021-01-24,Palermo,15.1,13.5,17.5
2021-01-25,Palermo,13.9,11.8,15.4
2021-01-26,Palermo,11.7,10.0,13.8
2021-01-27,Palermo,11.1,10.1,13.1
2021-01-28,Palermo,13.5,10.6,15.8
2021-01-29,Palermo,17.6,15.0,20.4
2021-01-30,Palermo,17.5,15.9,20.2
2021-01-31,Palermo,14.7,13.4,17.5
2021-02-01,Palermo,14.9,13.8,17.4
2021-02-02,Palermo,13.8,10.6,16.8
2021-02-03,Palermo,12.5,8.0,17.2
2021-02-04,Palermo,14.3,9.1,20.0
2021-02-05,Palermo,16.6,10.0,22.7
2021-02-06,Palermo,20.4,15.6,25.5
2021-02-07,Palermo,19.0,14.4,24.3
2021-02-08,Palermo,15.2,12.8,17.3
2021-02-09,Palermo,15.7,13.8,18.2
2021-02-10,Palermo,17.5,14.4,21.6
2021-02-11,Palermo,14.7,12.8,16.7
2021-02-12,Palermo,13.3,10.9,16.7
2021-02-13,Palermo,13.7,10.5,17.0
2021-02-14,Palermo,7.8,6.2,10.0
2021-02-15,Palermo,8.0,6.4,10.0
2021-02-16,Palermo,8.5,6.0,12.2
2021-02-17,Palermo,9.0,4.7,13.1
2021-02-18,Palermo,9.5,5.5,13.9
2021-02-19,Palermo,11.2,6.2,15.8
2021-02-20,Palermo,12.2,8.0,16.6
2021-02-21,Palermo,12.9,8.2,17.1
2021-02-22,Palermo,13.0,8.1,17.7
2021-02-23,Palermo,12.5,8.4,16.5
2021-02-24,Palermo,12.6,9.6,16.8
2021-02-25,Palermo,13.4,10.0,17.4
